台灣
TPE: TAIPEI-CHIANG KAI SHEK, 台灣桃園
YQL: LETHBRIDGE, 加拿大雷絲橋

YLL: LLOYDMINSTER, 加拿大羅明斯特

YXU: LONDON, 加拿大倫敦

YXH: MEDICINE HAT, 加拿大麥迪森漢

YQM: MONCTON, 加拿大蒙克通

YYY: MONT JOLI, 加拿大蒙特朱利

YMQ: MONTREAL, 加拿大蒙特利爾

YUL: MONTREAL, 加拿大蒙特利爾

YBL: MUNICIPAL, 加拿大原貝爾河

YCD: NANAIMO ARPT, 加拿大娜娜莫

YYB: NORTH BAY, 加拿大北灣市

YOW: OTTAWA, 加拿大渥太華

YYF: PENTICTON, 加拿大攀蒂頓

YXS: PRINCE GEORGE, 加拿大喬治王子鎮

YQB: QUEBEC, 加拿大魁北克

YQR: REGINA, 加拿大瑞吉娜

YSJ: SAINT JOHN, 加拿大聖約翰

YAM: SAULT STE MARIE, 加拿大所聖瑪利

YXE: SASKATOON, 加拿大撒司卡通

YYD: SMITHERS, 加拿大使密得斯

YYT: ST. JOHNS, 加拿大聖約翰斯

YSL: ST LEONARD, 加拿大聖隆那

YSB: SUDBURY, 加拿大蘇布瑞

YQY: SYDNEY, 加拿大希梨

YXT: TERRACE, 加拿大德瑞司

YQT: THUNDER BAY, 加拿大雷灣市

YTS: TIMMINS, 加拿大丁敏市

YYZ: TORONTO, 加拿大多倫多

YTO: TORONTO, 加拿大多倫多

YVO: VAL D OR, 加拿大瓦多爾

YVR: VANCOUVER, 加拿大溫哥華

YYJ: VICTORIA, 加拿大維多利亞

YWK: WABUSH, 加拿大瓦布希

YQG: WINDSOR, 加拿大溫莎

YWG: WINNIPEG, 加拿大溫尼伯

YQI: YARMOUTH, 加拿大亞茅斯

YZF: YELLOWKNIFE, 加拿大黃刀鎮

紐澳
AKL: AUCKLANd, 紐西蘭奧克蘭

BNE: BRISBANE, 澳洲布里斯本

CNS: CAIRNS, 澳洲凱恩斯

CBR: CANBERRA, 澳洲坎培拉

CHC: CHRISTCHURCH, 紐西蘭基督城

DRW: DARWIN, 澳洲達爾文

HBA: HOBART, 澳洲荷巴特

HTI: HAMILTON ISLAND, 澳洲哈密爾頓島

MEL: MELBOURNE, 澳洲墨爾本

MIM: MERIMBULA, 澳洲梅里姆布拉

NAN: NADI, 斐濟南地

NOU: NOUMEA, 新喀里多尼亞努美亞

PPG: PAGO PAGO, 美屬薩摩亞巴哥巴哥

PPT: PAPEETE, 法屬玻里尼西亞大溪地

PER: PERTH, 澳洲伯斯

POM: POTR MORESBY, 巴布亞紐幾內亞摩勒斯比港

WLG: WELLINGTON, 紐西蘭威靈頓

SUV: SUVA, 斐濟蘇瓦

SYD: SYDNEY, 澳洲雪梨

歐洲
ABZ: ABERDEEN, 英國亞伯丁

AMS: AMSTERDAM, 荷蘭阿姆斯特丹

ATH: ATHENS, 希臘雅典

ANR: ANTWERP, 比利時安特衛普

BUH: BUCHAREST, 羅馬尼亞布加勒斯特

BUD: BUDAPEST, 匈牙利布達佩斯

BCN: BARCELONA, 西班牙巴塞隆納

BFS: BELFAST, 英國貝爾法斯特

BEG: BELGRADE, 塞爾維亞貝爾格勒

BGO: BERGEN, 挪威卑爾根

TXL: BERLIN, 德國柏林

BLQ: BOLOGNA, 義大利波隆那

BNJ: BONN, 德國波昂

BRS: BRISTOL, 英國布里斯托

BRU: BRUSSELS, 比利時布魯塞爾

CWL: CARDIFF, 英國卡地夫

CGN: COLOGNE, 德國科隆

CPH: COPENHAGEN, 丹麥哥本哈根

DUB: DUBLIN, 愛爾蘭都柏林

DUS: DUSSDOLF, 德國杜塞道夫

EDI: EDINBURGH, 英國愛丁堡

FAO: FARO, 葡萄牙法魯

FRA: FRANKFURT, 德國法蘭克福

GOA: GENOA, 義大利熱那亞

GVA: GENEVA, 瑞士日內瓦

GIB: GIBRALTAR, 直布羅陀

GLA: GLASGOW, 英國格拉斯哥

GOT: GOTHENBURG, 瑞典哥德堡

GRZ: GRAZ, 奧地利格拉茨

HAM: HAMBURG, 德國漢堡

HAJ: HANOVER, 德國漢諾威

HUY: HUMBERSIDE, 英國亨伯賽德

LHR: HEATHROW, 英國倫敦

HEL: HELSINKI, 芬蘭赫爾辛基

INN: INNSBRUCK, 奧地利因斯布魯克

IST: ISTANBUL, 土耳其伊斯坦堡

IEV: KIEV, 烏克蘭基輔

KLU: KLAGENFURT, 奧地利克拉根福

KBP: BORISPOL, 烏克蘭鮑里斯波爾

KRK: KRAKOW, 波蘭克拉科夫

LBA: LEEDS, 英國里茲

LNZ: LINZ, 奧地利林茨

LIS: LISBON, 葡萄牙里斯本

LGW: LONDON-GATWICK, 英國倫敦

LJU: LJUBLJANA, 斯洛維尼亞盧比安納

LUX: LUXEMBOURG, 盧森堡

LYS: LYON, 法國里昂

MAD: MADRID, 西班牙馬德里

AGP: MALAGA, 西班牙馬拉加

MAN: MANCHESTER, 英國曼徹斯特

MRS: MARSEILLE, 法國馬賽

